Ave_close,Ave_open,CostPercentOfTxVol,DATE,Franc_Can_Conversion_rate,Franc_Can_Reciprocal_rate,Franc_EUR_Conversion_rate,Franc_Euro_Reciprocal_rate,Franc_GBP_Conversion_rate,Franc_GBP_Reciprocal_rate,Franc_USD_Conversion_rate,Franc_USD_Reciprocal_rate,should_have_bought
5.0736,5.07,3.401594334,5/29/2012,1.0659,0.9382,0.8326,1.2011,0.6652,1.5032,1.0396,0.9619,TRUE
5.091656667,5.090663333,3.029203486,5/30/2012,1.0625,0.9412,0.8325,1.2012,0.6651,1.5034,1.033,0.9681,TRUE
5.102666667,5.078323333,3.464907706,5/31/2012,1.0653,0.9387,0.8327,1.201,0.6682,1.4965,1.0294,0.9715,TRUE
5.133036667,5.099666667,1.219814068,6/1/2012,1.0733,0.9317,0.8325,1.2012,0.6722,1.4877,1.034,0.9671,FALSE
5.165033333,5.188996667,3.601687496,6/4/2012,1.0841,0.9224,0.8329,1.2006,0.6765,1.4781,1.0406,0.961,TRUE
5.202663333,5.166663333,2.843719592,6/5/2012,1.0784,0.9273,0.8326,1.201,0.6744,1.4828,1.0355,0.9657,TRUE
5.367003333,5.211293333,4.347093892,6/6/2012,1.0748,0.9304,0.8328,1.2008,0.6745,1.4825,1.0438,0.958,TRUE
5.402003333,5.36667,2.84468405,6/7/2012,1.0718,0.933,0.8325,1.2012,0.6726,1.4868,1.0463,0.9558,TRUE
5.530333333,5.400663333,3.021720996,6/8/2012,1.0739,0.9312,0.8327,1.2009,0.6736,1.4846,1.0394,0.9621,FALSE
5.395763333,5.517323333,4.383241227,6/11/2012,1.0706,0.9341,0.8326,1.201,0.6711,1.4901,1.0411,0.9605,TRUE
5.563903333,5.415763333,3.424648696,6/12/2012,1.0668,0.9374,0.8328,1.2008,0.6677,1.4977,1.039,0.9625,TRUE
5.642343333,5.555,3.075300146,6/13/2012,1.0773,0.9282,0.8328,1.2008,0.6743,1.483,1.049,0.9533,TRUE
5.838666667,5.674333333,4.0642492,6/14/2012,1.0759,0.9295,0.8328,1.2008,0.676,1.4793,1.05,0.9524,TRUE
5.901366667,5.875266667,3.937793211,6/15/2012,1.0775,0.9281,0.8326,1.201,0.6719,1.4883,1.0518,0.9507,FALSE
6.151273333,6.4129,4.033365615,6/18/2012,1.0754,0.9299,0.8328,1.2008,0.6688,1.4953,1.0475,0.9546,TRUE
6.201326667,6.143333333,4.213179052,6/19/2012,1.0757,0.9296,0.8328,1.2008,0.6719,1.4884,1.0569,0.9462,TRUE
6.40892,6.22166,2.671397774,6/20/2012,1.0782,0.9275,0.8327,1.2009,0.6716,1.489,1.0577,0.9455,TRUE
6.636333333,6.399586667,3.228767588,6/21/2012,1.0742,0.9309,0.8326,1.201,0.6704,1.4917,1.0479,0.9543,FALSE
6.623366667,6.61167,2.872688922,6/22/2012,1.0718,0.933,0.8327,1.2009,0.6705,1.4914,1.0446,0.9573,FALSE
6.316673333,6.3345,4.129633783,6/25/2012,1.0708,0.9339,0.8329,1.2007,0.6682,1.4965,1.0393,0.9622,FALSE
6.252966667,6.299673333,2.479114164,6/26/2012,1.0659,0.9382,0.8327,1.201,0.6649,1.5041,1.0384,0.963,TRUE
